,game_name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
881,Dancing With The Stars,Wii,2007,Misc,Activision,0.22,0.0,0.0,0.02,0.24,42.0,6.2
887,Dark Messiah of Might and Magic Elements,X360,2008,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02,0.2,52.0,7.0
888,Dark Sector,X360,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48,72.0,7.5
889,Dark Sector,PS3,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.07,0.47,72.0,7.6
890,Darkstalkers Chronicle: The Chaos Tower,PSP,2004,Fighting,Capcom,0.13,0.0,0.0,0.01,0.15,74.0,7.9
891,DarkStar One,PC,2006,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.03,71.0,7.2
892,Darkwatch,PS2,2005,Shooter,Ubisoft,0.16,0.12,0.0,0.04,0.32,74.0,8.4
893,Darkwatch,XB,2005,Shooter,Ubisoft,0.16,0.05,0.0,0.01,0.21,75.0,8.1
894,Dave Mirra BMX Challenge,PSP,2006,Sports,Oxygen Interactive,0.06,0.0,0.0,0.01,0.07,32.0,4.6
896,Dawn of Mana,PS2,2006,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43,57.0,6.8
897,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.01,0.0,0.75,4.21,85.0,8.7
898,de Blob,Wii,2008,Platform,THQ,0.49,0.37,0.0,0.1,0.96,82.0,8.6
899,Dead Head Fred,PSP,2007,Action,D3Publisher,0.04,0.0,0.0,0.0,0.04,75.0,7.3
900,Dead Man's Hand,XB,2004,Shooter,Atari,0.09,0.02,0.0,0.0,0.11,62.0,8.1
901,Dead or Alive 4,X360,2005,Fighting,Tecmo Koei,0.3,0.03,0.1,0.03,0.47,85.0,8.2
902,Dead or Alive Ultimate,XB,2004,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5,83.0,8.7
903,Dead or Alive Xtreme 2,X360,2006,Sports,Tecmo Koei,0.15,0.02,0.06,0.02,0.25,53.0,6.7
904,Dead Rising,X360,2006,Action,Capcom,1.16,0.64,0.08,0.2,2.08,85.0,7.6
905,Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.66,0.0,0.29,2.0,88.0,8.8
